username,Acquaintance-Affinity Score AA ( j )
shawndolley,0
reecha_sinha,0
ScalarHumanity,0
clouddirect,0
jimsinai,0
IoTNext,0
bpkFEARLESS,0
AbizaidAlfie,0
Saurabhsays_,0
begusgasper,0
Zehra_Shaan,0
hasanzaidisays,0
EleonoreMayola,0
GeoffMosherNFL,0
jnks77,0
atanudey,0
pksidharth10,0
SirBobbyDeol,0
itsmeleighton,0
songdewnetwork,0
FedericoCaivano,0
Soundarya_J,0
BadAssMonroex3,0
atul_deshkar,0
HotRickshawLegs,0
Bnassir,0
jeanwanwan,0
KikiMladenovic,0
bcgoyette,0
mopatel,0
robmeadows,0
Honorglobal,0
NotFaiz,0
ivijay79,0
Rescisco1,0
BeingKohlicious,0
Imuskaan22,0
arghya_majila,0
HarleenParmar,0
DrSailajaK,0
CatChullain,0
Alexortiz1987,0
BobPickard,0
Suraj_S3,0
EliteDecks,0
GA_offcl,0
ISBInsight,0
fpfmusic,0
sptiwari97,0
rlyadavofficial,0
Hindus4HR,0
omprakashrjd,0
Armaanian_Aditi,0
Early_Salary,0
sinanantoon,0
haristweet,0
AwkwardMuslim,0
prichronicles,0
dhiraj_d_bhatia,0
avinashtiw85,0
VHPeuch,0
cloud4computing,0
nastass2,0
EmmaMayLondon,0
puigortoneda,0
hochstenbach,0
Rancorinfotech,0
PCpicturesclub,0
noahcha,0
lderevnina,0
RahulMaganti,0
reach_santosh,0
pHatScoop,0
CharlesRexha,0
nadiahijab,0
charlielmo,0
mattasimpson,0
am_aswad,0
bobbyhollywood,0
motherofbillis,0
abdur,0
Cowboywriter1,0
ItamarCareca,0
mcl5tech,0
MattBrittin,0
anandgopan,0
bipashabasusays,0
dpasker,0
SingleForLifey,0
Poonamc85363354,0
RadiNabulsi,0
lenagelis,0
ingridvdhburton,0
undefinedrocks,0
TTVaibhavam,0
bennkuru,0
AyushiBurman,0
golu_a,0
CRJCrawfordNZ,0
gjmarx,0
gregoriklosman,0
Mebane92,0
kellykellman,0
MarketsHill,0
trevorhlund,0
raenashirali,0
Retweetologist,0
jephoi23,0
qamrookha7,0
MartaFdezJurjo,0
Speaker_Central,0
rsn,0
shaicohen1,0
theartofsaving,0
NarendraPatil63,0
sakshijain23_,0
Syamant,0
samyra_md,0
mertkilickaya_,0
MarleeMatlin,0
ndennis_benn,0
whotookadnan,0
mattpitman,0
AmiitGautam,0
devonpj,0
AniDave11,0
tabishhk,0
EnergyFirst,0
PaulBarba_,0
Woslove,0
PtRajanSharma,0
lsanz_iasp,0
DennyTapia,0
OneStory_com,0
BillyRowley,0
colddirt,0
TIENSindonesian,0
ipriyanksharmaa,0
JRobbinsMD,0
MikeLuttermoser,0
b_kleiban,0
sheyllabs,0
JesseLakes,0
ajayghayal,0
KotechaDr,0
shahzerkhan,0
