username,Acquaintance-Affinity-Identification Score AAI(j)
TheBeerAnkur,196852.6407
AbouVDIABY,186880.6587
qamrookha7,186868.3067
lewy_official,183159.472
joebryantla,181240.6455
leepace,178915.0122
RobertDowneyJr,178406.875
sandeepm1,175614.5736
EmmaMayLondon,169769.4302
ashulazy8,168431.5565
SakshiMalik,167266.1442
pHatScoop,165518.3237
Kush_Savani,165501.6794
gitagovinda,165206.5764
generativist,163593.6984
Soundarya_J,163423.2739
megparikh,162223.3692
ramhemmige,162107.3134
senaparna,162107.3134
ItsAnuEmmanuel,162107.3134
FELS_SubCon,162107.3134
colors_infinity,162107.3134
reecha_sinha,162107.3134
Zehra_Shaan,162107.3134
pksidharth10,162107.3134
ivijay79,162107.3134
avinashtiw85,162107.3134
ipriyanksharmaa,162107.3134
AstroMCollins,150418.1945
Astro_Doug,137228.1818
Persie_Official,136495.9604
anandgopan,135169.3063
patho_arshad,134572.6675
bobbyhollywood,133387.8894
pbmehta,131776.7059
guptajn1001,131465.4654
MattBrittin,122952.029
gjmarx,120552.0211
antabra,119994.1388
kcpatelbjpguj,119673.25
sanjaysinghjdu,119673.25
davidaxelrod,119424.4077
dannyjeffers,118940.8782
realmikefox,118465.3647
RobertIger,118462.2043
Karthi_Offl,118445.56
VHPeuch,118445.56
sivavaid,113444.1174
anjali_damania,112072.9214
prasoonjoshi_,111849.1765
RishabhPant17,105505.3469
vikasbajaj,103152.2291
patcummins30,100567.5184
DwayneDuggerII,100222.0116
GeoffMosherNFL,99617.84352
SteveAngello,99163.2
_Pedro17_,98635.46766
tristanwalker,93543.71097
amlahash,74908.81225
KranichHS,73985.07305
HermiesTV,73588.64929
mcl5tech,71417.82592
Ajitessh,70665.29412
rlyadavofficial,70665.29412
SeenuMohapatra,57256.83177
mertkilickaya_,46759.43789
DipaKarmakar,46687.29586
MedelPitbull,43809.07865
dustinvtran,43793.91022
nickbilton,42887.31163
Sah75official,42736.62054
TrentAA,40454.08315
mattcohler,35929.16948
samyra_md,33512.75771
MagnusCarlsen,33250.6321
mattpitman,33011.04535
Phil_Coutinho,32096.05556
jeffhiro,30123.66014
RamsingPatil,29259.15765
_OlivierGiroud_,29205.66491
kennethdalglish,27561.30844
J_Gomez97,27049.96267
eveewing,26527.38554
IssaRae,26487.11766
bradfitz,25936.51583
mkverma001,25070.8798
eleganzz,24760.99324
JamesMilner,24434.33648
FabienForest,24429.18895
M_Jikurashvili,24426.83061
LangerPath,24426.82126
PathRuzCaracuel,24086.32676
Syamant,23568.21943
ohmary11,23399.60099
coL_Sottle,23103.84713
GulzarPoetry,22090.87963
shobhitbanga,21499.31405
mopatel,20764.36838
ghoseb,20348.08588
VictorMoses,19218.38103
dogecoin,19047.12406
lachygroom,17772.41213
ZellnerLaw,16588.79987
shagunsodhani,16497.93507
johnplattml,16419.38026
GregGoralski,16419.38026
OriolVinyalsML,15404.50044
ENTpathology,15334.66306
NanoLiveLtd,15275.93738
svenphilipsen,14931.85933
Gupta_ReenaG,14803.01399
ysjagan,14694.15439
josephfcox,13567.17292
AstroBehnken,13190.1655
freddyb,12658.17227
StoryTelnHacker,11855.84961
Hindus4HR,11815.75612
vinijr,11030.6297
paulinhop8,11030.6297
dreamzdotcom,10840.85475
mirianfrsilva,10813.98075
ndennis_benn,10065.87504
fbrandtips,9864.931079
EleonoreMayola,9363.56726
deeptisawhney,9326.459854
SweetInTheGale,9326.459829
MominaMustehsan,9326.459829
AnnCoulter,8491.158061
Inc42,8112.490457
sussannekroshan,7595.27957
karthik_econ,7099.397415
danielwilsonPZ,6780.012346
david_perell,6684.931817
bennkuru,6590.500076
Mebane92,6496.974925
smarket,5880.930638
deeptrivedivyas,5732.097959
icann_president,4667.393775
Bnassir,4555.285882
SiddharthDeswal,4103.064392
Lorth,4027.849975
LifeMathMoney,3956.042571
Julian,3661.72619
RonConway,3560.964775
deepikapadukone,3394.365981
Rancorinfotech,3163.307354
yournextpick,2632.930337
rohitkbansal,2534.51601
MadhusudanKela,2520.505272
BoniSatani,2520.505272
chintan_acharya,2520.505272
TracyMorgan,2499.727793
shamsforjustice,2035.214194
sanjaykanvinde,2035.214194
AnalyticsJamie,1960.216125
DrHowardGardner,1766.71199
bose_joey,1487.552769
Nanobiosym,1183.430259
jasonnash,952.4288802
rsn,819.3750009
viziandrei,819.3750009
PhilFoden,759.1928146
rohinthampi,702.9334395
dpasker,674.0182159
aroonpurie,667.622664
hdmoore,648.5043449
cure53berlin,597.6454599
DogeMocenigo,555.911619
IamSandraOh,548.8860572
chelsailama,546.3561603
raenashirali,521.7484337
SQLCindy,472.668155
surajjagan,466.8852003
iamharshbeniwal,399.8313076
OHCHR_MENA,392.9096143
Trans_NewYork,351.6576245
tabishhk,309.7776897
KlayThompson,137.7289252
ArghaManna,109.6945148
InedibleBulk,58.82987861
thomyorke,57.89625296
motherofbillis,55.45576283
TK_Tejan,48.95836273
DAVID_LYNCH,41.25198978
Joe_Nye,41.25198978
SaraRamirez,41.25198978
jimsinai,41.25198978
JRobbinsMD,41.25198978
MikeLuttermoser,41.25198978
AydenLincoln,41.25198978
Wangchuk66,17.468848
tomhanks,16.64426318
MickJagger,16.64426318
DaveSitzler,15.46530818
TextualOffender,11.10252574
NYCITI_India,11.10252574
dhiraj_d_bhatia,6.236472946
MirYanaSY,5.544115939
wearelineate,4.346976477
MarketsHill,4.345384857
SearchCandy,4.345384857
_4Programmer,4.345384857
Steviegrieve,0.055555798
SopanDeb,0.055555798
begusgasper,0.026525833
Rescisco1,0.026525833
PaulBarba_,0.026525833
smlungpathguy,0.009344787
ScalarHumanity,0.000709228
pc_of_az,0.000683801
mr_rcollins,2.54E-05
Anupam_Guha,6.99E-06
90sWWE,0
iamjohnoliver,0
DarrylHudspeth,0
harari_yuval,0
udaykotak,0
MahuaMoitra,0
Ibra_official,0
Mayawati,0
Cyberdost,0
SebastianThrun,0
wefollow,0
davutgoksu,0
NashFargo,0
danieldennett,0
GloriaSteinem,0
year_progress,0
brbrasseur,0
DonRickles,0
stratechery,0
AdamSandler,0
Director_SEZ,0
Logistics_MoC,0
orianabandiera,0
vgcerf,0
BhimBassi,0
