username,Follower_count(F1),M4,RT3,RP3,Acquaintance_score
HotRickshawLegs,904,0,3414,1731,6049
mattasimpson,1910,0,3794,216,5920
saum98,924,1,4932,24,5881
Armaanian_Aditi,722,0,4806,1,5529
vishaltv,178,0,5026,24,5228
dranujpa,368,0,4622,11,5001
TheTanayJain,283,0,4019,25,4327
GA_offcl,1168,0,492,11,1671
eleganzz,1237,1,123,0,1361
Joy_01,147,0,1002,16,1165
ef_shiv,1068,0,10,35,1113
DebSreeSarkar,874,0,4,4,882
Trans_NewYork,171,1,164,2,338
