username,score
SreenuVaitla,1.000004043
BrendaSong,1.000004104
RobertIger,1.000004105
ShyamRangeela,1.000004109
Scotty_Sinclair,1.000004132
ritssajdeh,1.000004179
CLEMENTINATOR,1.00000418
eveewing,1.000004233
YashwantSinha,1.000004266
KaPliskova,1.000004304
TFT,1.000004315
davidgilmour,1.000004365
childhoodisgone,1.000004406
NorahJones,1.000004419
SAUDICERT,1.000004446
Andrew_S_Dykes,1.000004493
senaparna,1.000004615
LaghateParth,1.000004658
robert_huth,1.000004679
QuinnyDeKock69,1.000004716
SadhviPragya_MP,1.000004719
fotc,1.000004722
LMarkec50,1.00000476
T_B_C_bot_,1.000004841
CamiloVillegasR,1.000004878
skilledinodisha,1.000004897
GbNaib,1.000004953
MaYasukawa,1.000004983
DiegoAMaradona,1.000005248
LukaszFabianski,1.000005331
ivivianrichards,1.000005346
zywoo,1.000005389
GulzarPoetry,1.000005474
karthicknaren_M,1.000005494
cookbook,1.000005541
Nher_who,1.000005562
fadnavis_amruta,1.00000558
influencersitw,1.000005596
DonRickles,1.000005622
s4dota,1.000005687
SopanDeb,1.000005705
KagisoRabada25,1.000005735
SandeepAgg,1.000005751
RonVlaar4,1.000005823
kansalrohit69,1.000005885
ChristianSlater,1.000005926
Its_JSTN,1.000005939
alexia,1.00000594
momota_kento,1.000005991
noreplyorkut,1.000006013
VirendraSMO,1.000006356
outofcontextars,1.000006474
robinthede,1.000006516
2Point0movie,1.00000656
PhantomL0rd,1.000006645
Screenplayed,1.0000067
IamNagashaurya,1.000006775
MarkVHurd,1.000006781
azharflicks,1.000006813
s_qamarzaman,1.000006928
haveibeenpwned,1.000006975
maroof_bismah,1.000006997
zai_2002,1.000007022
SullivanTweet,1.000007029
BronxZoosCobra,1.000007062
NashFargo,1.000007062
Tukaram_IndIAS,1.000007083
prasoonjoshi_,1.000007211
stratechery,1.000007229
BhimBassi,1.000007232
zainjaffer,1.000007247
FrontierDotXYZ,1.000007273
ReheSamay,1.000007285
kavakebian_ir,1.000007301
F1MikaHakkinen,1.000007373
jimfarley98,1.000007375
dthevirus31,1.000007408
Psychologicalss,1.00000745
anafabrega11,1.000007456
nirahua1,1.00000747
GarryMonk,1.000007477
ESLShop,1.000007545
Astro_illini,1.000007567
offlestwins,1.000007637
KennyEdmonds,1.000007717
AnanyaDasIAS,1.000007794
ukaisaki,1.000007872
dmgonda2,1.000007929
OliverKahn,1.00000803
rishid100,1.000008035
KrisSrikkanth,1.000008037
MacroCharts,1.00000811
AnandSharmaINC,1.000008142
pbmehta,1.000008165
dkhos,1.000008192
kashanacauley,1.000008266
ImSushVerma,1.000008269
PalantirTech,1.000008457
loveno1kanda,1.000008463
AGoldmund,1.000008617
Mujeeb_R88,1.000008688
DrSyedSehrish,1.000008714
meghnagulzar,1.000008728
AbhaySChautala,1.00000874
Inspiresinc,1.000008768
ShahbazAnsar_,1.000008827
Sukhbir_Singer,1.000008873
OriolVinyalsML,1.000008896
tailwindcss,1.000009119
aroonpurie,1.000009163
ponramVVS,1.000009269
OvO_RiMe,1.000009333
OrangenoseTweet,1.000009345
dfwhatmore,1.000009348
RonConway,1.00000937
Bryanbrothers,1.000009391
JonWalters19,1.000009448
FateEXTELLA,1.000009449
KaiaGerber,1.000009465
MadhusudanKela,1.000009597
brbrasseur,1.000009786
kabirsehgal,1.000009893
SpaceForceCSO,1.000009916
Plaid_JackMa,1.000010004
AlbieDeluca,1.000010289
khaledhosseini,1.000010376
VacciNewsNet,1.000010567
ketan1811,1.000010577
AstroMCollins,1.000010579
shivathapa,1.000010781
sydusarts,1.000010817
idealist,1.000010861
ProperWhiskey,1.00001088
WunThompson,1.000010896
PubityOnInsta,1.000010945
hdmoore,1.000010969
XANTAREScsgo,1.000010999
alexstamos,1.000011004
Joe_Nye,1.000011011
PorcupineTree,1.000011106
anandshank,1.014919314
boztank,1.016214263
zakwilliams,1.017535529
MarkKnopfler,1.022820256
CoachPeteUW,1.023145832
OfficialWonG,1.030042918
Atypical,1.036221705
ilyasut,1.036472309
tceb62,1.037751078
midonedota2,1.040486485
RGWayanadOffice,1.042704544
stephen_wolfram,1.043308912
MirwaisAshraf16,1.051229939
AwkwardMuslim,1.065567948
BBugti,1.067046061
chase_hooper,1.069556847
1000DegreesX,3.000033333
138_das,3.000033333
62f60ca138454a3,3.000033333
777kabra,3.000033333
aaloksony,3.000033333
AAP_ki_BAAT,3.000033333
aaqibkhan678,3.000033333
AarthyRao,3.000033333
Aashish0506,3.000033333
aashish15choud1,3.000033333
abhaysdr,3.000033333
abhay_om,3.000033333
abhay_pasari,3.000033333
Abhinandhanks,3.000033333
abhi_lakhotiya,3.000033333
abirajree,3.000033333
ableindia2015,3.000033333
abowie917,3.000033333
absreenivasan,3.000033333
ab_quader_patel,3.000033333
AcAOzzy,3.000033333
AchLekha,3.000033333
achuthb,3.000033333
a_rurouni,3.000033333
0_hobbies,3.000033333
1HamroSikkim,3.000033333
3utechnovidzzz,3.000033333
Adarshanurag_,3.000033333
Adarshreddyash,3.000033333
adityarikame,3.000033333
aditya____b,3.000033333
aesariyuce,3.000033333
agarwalrahul28,3.000033333
AgrawalVerma,3.000033333
agrawal_aga,3.000033333
Agunk_Apology,3.000033333
AhmadouLY1,3.000033333
ajaykumar5571,3.000033333
ajaypatnaik,3.000033333
AjeetYadav1984,3.000033333
ajendrasingh81,3.000033333
ak3754,3.000033333
AkaManx,3.000033333
AkashMi78429048,3.000033333
Akhileshwari_11,3.000033333
akshat9211,3.000033333
Akshayp604,3.000033333
akshaypatel0709,3.000033333
Akshayrajput201,3.000033333
aLAdvin,3.000033333
AliceAlbright,3.000033333
aliyousuuf,3.000033333
AlkaChandra7,3.000033333
Alok06897183,3.000033333
alok1807,3.000033333
AlokDravid,3.000033333
AlokKD1805,3.000033333
Alokknair,3.000033333
alwayshereatyou,3.000033333
Alycia_hall,3.000033333
am1t_shahane,3.000033333
amanarora39,3.000033333
amarbansal24,3.000033333
amarnathmc70,3.000033333
amarpahadi,3.000033333
ameeet11,3.000033333
ameygat,3.000033333
AmiitGautam,3.000033333
amitya_narayan,3.000033333
AModiarmy,3.000033333
ampdigitalco,3.000033333
amruthagk11,3.000033333
anandsriram,3.000033333
ANAYASARAH1,3.000033333
andreaazzini,3.000033333
AndreaGluckman,3.000033333
angelinaksun,3.000033333
anikethdesai,3.000033333
AnirbanM16,3.000033333
anirbansparsha,3.000033333
anishsousa,3.000033333
anjalisangwan_,3.000033333
AnjaneyKr,3.000033333
ankitlhila,3.000033333
ankkittm,3.000033333
AnkurKu28917444,3.000033333
AnnaLauSV,3.000033333
Anoojanu1,3.000033333
ansarimoin17792,3.000033333
Anthony60388899,3.000033333
anuki25,3.000033333
AnunehaM,3.000033333
anuraagaryan,3.000033333
AnuradhaDas900,3.000033333
Anwar228677331,3.000033333
anzarjnu,3.000033333
Aombray,3.000033333
ApoorvaNaik14,3.000033333
aps121,3.000033333
ArishKhajotia,3.000033333
AritaAbrol,3.000033333
aritra360,3.000033333
ArjitsAgarwal,3.000033333
ArjunBabuRatho1,3.000033333
armaal_dreamer,3.000033333
ArmaanianShawon,3.000033333
ArmaanKiNeend,3.000033333
ArNeSh01,3.000033333
arshad_path,3.000033333
ArunPod04205859,3.000033333
ArunRawal93,3.000033333
aryan_kapoor87,3.000033333
arzan_patel90,3.000033333
Asfak44511862,3.000033333
AshmitPatel15,3.000033333
AshokKmrPandit,3.000033333
ashoktvm,3.000033333
ashrao110,3.000033333
ashulazy8,3.000033333
AshuMishra89,3.000033333
AshutoshTewar15,3.000033333
AshutoshTewarri,3.000033333
ashwinkanhere,3.000033333
asifmardhani18,3.000033333
As_aniketshende,3.000033333
ATamimK,3.000033333
AtifahArmaan,3.000033333
AVGTiwari,3.000033333
AzzuraShop,3.000033333
BadAssMonroex3,3.000033333
Bandya_of_Akola,3.000033333
banerjeeavik,3.000033333
BansShekhu,3.000033333
BarmanRoCkz,3.000033333
Bbafagucci,3.000033333
BhadaniRishabh,3.000033333
BhagyeshPhanse,3.000033333
BhakuniChandan,3.000033333
bhanu_machra,3.000033333
BHARDWAZNITIN,3.000033333
bhargavipba,3.000033333
bhaswarview,3.000033333
Bhola__Singh,3.000033333
Bhowanipore,3.000033333
bhuRaushan1997,3.000033333
Bidisha4484,3.000033333
BidyutK63894898,3.000033333
bigstout17,3.000033333
billliu_seattle,3.000033333
binoddangal123,3.000033333
BinodRajput86,3.000033333
BioinfoRajput,3.000033333
BiQCloud,3.000033333
bishnu_hela,3.000033333
bitanm,3.000033333
BjpDrYadunath,3.000033333
bjpsanjaysingh,3.000033333
BlackSpell_,3.000033333
BlankPaperBoy,3.000033333
BlasterAmit,3.000033333
BloggerAnshul,3.000033333
blu_srkgroup,3.000033333
brahma999,3.000033333
bratinellaMDMBA,3.000033333
bRees77,3.000033333
brijeshed,3.000033333
btsstarstruck,3.000033333
c91eb3cf150e475,3.000033333
capt_maben,3.000033333
carrhobart,3.000033333
CeyonSaravana,3.000033333
cghalani,3.000033333
Champaign3000,3.000033333
