Rank,range1,range2,range3,range4,range5,range6,range7,range8
bcr,8.969053,8.462659,8.320463,8.848232,9.012278,9.500905,10.796183999999998,13.940166
ccr,7.63017,8.442116,9.058756,8.499080000000001,9.795357,10.925847999999998,10.167481,13.107552
page_rank,7.63017,8.442116,9.058756,8.499080000000001,9.795357,10.925847999999998,10.167481,13.107552
sir,11.599607,11.456302,9.130559,9.459874,9.110201000000002,9.279446,8.960474,8.994597000000002
user_rank,8.237741,8.140813,8.871431000000001,8.762281,9.777014,10.562047,10.167481,13.107552
