User ID,user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month),k-shell value
515980805,itsMichaelJ,249006150.0,43.603,13.111,1.0,7499.647,14526.206,1.25,14.2
52939106,JanetJackson,333495252.0,13.78,4.81,1.455,47040.883,10307.305,3.333,14.2
818238024,lamelaza_7,232597251.0,17.89,15.651,4.744,3880.256,2208.86,1.391,14.2
174972753,Writer_DG,298999718.0,130.091,157.0,9.222,63738.545,19194.545,148.182,14.2
18662816,teachwithsoul,348779297.0,30.789,37.525,14.921,114.3,46734.85,17.051,14.4
69436408,ClareBaileyGPNI,328581754.0,8.0,24.083,8.947,377.083,11750.542,8.158,14.4
2596145105,MrJJMitchell,177644946.0,3.621,1.756,4.257,5.576,162.667,1.143,14.4
779452,betchaboy,408150441.0,37.0,10.933,53.781,427.281,30959.594,4.103,14.4
354464050,House_Flippin,266733473.0,168.8,1.667,5.667,304.429,1194.571,0.0,14.4
1364365273,SamTongeWriter,213620544.0,112.8,306.2,231.0,1266.4,91326.8,53.2,14.4
1712831,ruhanirabin,405544811.0,458.857,5.0,7.333,87.714,182.0,2.5,14.4
4132841,mcleod,403724414.0,396.0,340.5,71.75,661.5,422006.5,251.75,14.4
159072934,adept_education,302618664.0,19.417,9.276,7.393,14.367,5342.163,3.245,14.4
736843656,MrAndiPrice,235905550.0,135.875,166.0,98.75,583.25,1180.75,142.5,14.4
24852465,carlyraejepsen,342722949.0,24.609,9.12,5.583,34561.874,25736.516,2.667,14.4
521721536,Author_DDB,248493299.0,5.197,10.844,3.038,32.44,6532.619,2.0,14.4
19433169,novelista,347221406.0,19.577,12.667,10.493,98.963,9905.7,3.189,14.4
114936799,Barnaby_Joyce,313621553.0,18.245,5.892,10.646,570.651,1064.453,1.842,14.4
42836999,RachelNotley,336587500.0,429.0,149.8,70.8,108202.6,36372.8,67.4,14.4
2230417592,AdrienneTacke,193809798.0,24.538,8.519,43.556,520.171,12633.268,14.25,14.4
21189360,JimAllister,345038303.0,60.2,148.8,6.643,8083.867,22398.733,33.467,14.4
802751,funnyindian,407271496.0,16.792,4.436,11.278,81.33,4741.368,1.733,14.4
16485564,brholland,357473383.0,49.133,61.529,87.938,182.529,115359.588,22.75,14.4
189249484,LuisCessaMx,295849525.0,7.832,8.968,8.97,1251.984,4138.087,2.139,14.4
505516379,Enghumbhini,249673546.0,100.667,500.333,475.333,10696.333,6869.0,81.0,14.4
20859801,amweston,345363755.0,25.036,6.13,11.812,24.048,3148.19,3.158,14.4
212009144,LegoJames,291088760.0,10.464,29.875,17.418,134.661,48634.464,9.0,14.4
24490456,LBardugo,342902988.0,27.333,6.773,88.692,42227.259,17101.63,19.296,14.4
26492874,jtoop,342010167.0,9.436,9.429,5.08,49.614,1606.114,5.444,14.4
75401545,relativism,326684441.0,12.576,50.824,33.03,115.0,29744.706,14.323,14.4
417615653,edsouthall,258144539.0,55.667,59.333,154.833,3391.667,128964.0,24.0,14.4
33141453,lvojvodich,339877373.0,26.556,18.155,2.25,86.181,12986.639,13.014,14.4
17732485,owexelstein,352040140.0,14.125,7.655,24.119,4.51,895.656,1.571,14.4
