user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
masongreenwood,91883527.0,3.553,11.022,1.722,135,496,31,46,77653.348,20593.435,2.3
mayankcricket,88944239.0,12.146,3.0,5.435,498,51,125,45,65127.415,2619.585,2.812
SudhirS96916471,110188223.0,87.4,1.0,7.286,874,1,51,5,14.3,1107.1,1.667
sundeepkishan,307027856.0,23.75,91.05,46.0,475,1821,920,316,50779.55,83772.7,15.8
PankajBhardwajS,128694782.0,4.789,6.457,11.97,182,226,395,70,11.085,14955.617,5.833
ivijay79,279464931.0,20.227,4.35,12.66,890,174,595,6,0.37,745.278,1.5
NotFaiz,268854281.0,14.179,10.876,8.151,1347,1055,758,326,22.637,10190.794,5.525
harari_yuval,96542875.0,10.122,4.333,2.231,496,104,29,46,5894.449,1865.898,2.091
lsanz_iasp,316343735.0,5.738,19.908,2.0,350,1294,56,94,12.758,436.152,2.611
LangerPath,89540949.0,1.812,45.275,3.267,29,1811,49,16,25.4,3831.1,1.231
CelinaJaitly,329501263.0,27.598,11.308,3.25,2263,882,91,1218,1861.134,2369.866,17.4
iamChuckRussell,293062817.0,1059.333,1.0,6.333,3178,3,19,1,383.75,3524.75,1.0
ch_dharambir,76407818.0,22.268,50.312,5.208,913,805,125,34,778.548,73617.619,3.091
prasantpkm,264315045.0,3.562,10.902,4.219,114,447,135,60,4.396,3983.083,2.727
deepak1811,309766449.0,3.824,4.262,5.356,195,260,316,104,34.704,45.778,3.152
noahcha,365968141.0,36.212,38.25,21.935,1195,1224,680,176,54.939,112549.848,7.333
ingridvdhburton,341898235.0,9.405,12.375,2.87,696,891,132,209,15.429,8690.798,4.354
bhorowitz,358849587.0,3.286,22.571,5.571,23,158,39,43,514.714,2933.143,6.143
MMRAW,339004947.0,17.791,3.831,4.649,1957,226,265,73,357.008,236.254,3.042
EliteDecks,188982110.0,31.655,12.158,25.2,918,231,378,2,26.586,447.828,1.0
SteveAngello,344683318.0,23.045,12.118,6.7,507,206,67,60,13147.542,5365.917,5.455
arghya_majila,21184868.0,18.562,65.278,2.8,297,1175,14,38,11.053,69417.895,4.75
Bilge_Baak1,255665710.0,43.044,26.295,1.632,1937,1157,31,87,51.267,14359.356,4.579
AusHCIndia,236176368.0,70.143,22.429,139.571,982,314,1954,199,23414.929,10892.929,14.214
VictorMoses,233829432.0,7.206,2.724,3.75,699,79,30,10,19180.051,3896.735,2.0
StoryTelnHacker,67600793.0,4.966,5.027,4.722,144,186,170,61,10.763,9041.816,2.44
thomyorke,314941560.0,7.561,9.273,1.8,431,510,18,160,23642.034,79077.085,3.404
ToniRuediger,141638476.0,10.121,1.111,2.1,668,10,21,31,65416.53,10217.97,2.214
cricketnext,357141080.0,782.0,14.0,26.667,3128,42,80,3,14826.25,2259.75,1.5
rajesh9lessons,281101697.0,8.543,1.783,1.389,803,41,25,1,3.01,498.0,1.0
rsn,374151982.0,4.667,8.286,10.286,28,58,72,31,35.857,18967.0,5.167
mahdinmk,269630492.0,5.43,1.722,2.423,505,31,126,125,3.814,55.866,2.907
RajAmbedkar650,37454358.0,3.333,49.308,2.105,50,641,40,44,2.625,82268.833,4.4
SahilnDharia,227192386.0,2.308,7.479,3.879,90,546,128,78,7.658,34670.184,2.786
ItsAnuEmmanuel,113855943.0,7.471,12.208,4.938,254,293,79,73,16132.105,3246.974,3.318
90sWWE,57207833.0,28.357,0.0,1.0,794,0,2,9,144834.5,27032.357,1.5
Zehra_Shaan,113766928.0,8.893,17.739,1.286,249,408,9,152,34.258,800.323,6.909
MominaMustehsan,308063541.0,7.507,3.25,9.513,548,182,371,176,4957.086,13307.827,5.029
vidyaiyengarblr,136982909.0,5.304,20.667,1.8,122,744,36,57,24.488,1274.953,2.375
OHCHR_MENA,217770640.0,12.787,9.786,2.273,1023,411,25,24,83.325,854.612,2.0
LeherIndia,187371142.0,23.26,32.653,10.818,1163,1600,476,386,100.549,11761.333,8.213
hydroweaver,332959225.0,3.434,10.86,2.026,182,543,79,20,1.697,6399.879,1.667
