user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
JHarden13,334024583.0,20.776,6.649,12.94,2223,379,647,89,51814.907,14492.421,2.171
JHenwick,275453167.0,1.333,2.727,1.722,32,30,31,12,2047.1,12837.875,1.333
JimAllister,345038303.0,60.2,148.8,6.643,903,2232,93,502,8083.867,22398.733,33.467
JimCarrey,333594076.0,17.176,11.5,31.162,1855,161,1153,21,162788.194,34366.389,1.909
jimmy9,335753858.0,8.434,5.523,14.626,953,602,1682,173,6522.6,2173.426,2.883
Jim_Jordan,350548776.0,53.474,29.763,4.647,2032,1131,79,440,1065390.816,304628.816,11.892
jms_dot_py,232618540.0,101.833,124.833,312.667,611,749,1876,459,1485.333,642009.0,76.5
JoannaStern,394513890.0,60.4,16.429,140.933,906,230,2114,239,17852.933,4872.933,15.933
joejonas,316672260.0,33.265,10.984,4.649,2262,670,265,206,348950.13,107777.391,3.745
joelgascoigne,353057851.0,9.692,7.605,63.275,378,289,2531,139,1975.375,13439.2,3.971
johndunford,341170366.0,4.903,40.273,4.41,304,2658,269,498,82.015,26361.403,7.662
johnsundell,282055932.0,31.167,15.944,133.444,561,287,2402,110,5893.222,848.778,6.471
JohnTory,321859978.0,294.75,84.875,26.625,2358,679,213,86,38090.25,15123.625,10.75
JokerEph,248259735.0,3.333,2.273,4.745,130,100,261,66,27.56,52776.587,2.444
JonCruddas_1,250079148.0,15.664,7.741,1.723,1770,836,81,58,166.761,608.027,1.568
JordanaBrewster,278028671.0,15.308,18.768,12.017,1194,1295,721,129,4013.553,13743.376,3.909
jordanrcrook,274953732.0,25.375,7.35,18.714,1624,441,1179,373,202.156,54898.969,6.431
josbuttler,280211670.0,11.631,5.614,15.032,1198,567,1413,259,11076.533,6188.543,3.809
JoshConstine,346987117.0,50.929,12.5,170.5,713,150,2387,189,8323.286,24285.571,13.5
joshduhamel,315804470.0,23.011,10.19,2.824,2140,856,192,405,7903.24,3232.823,9.419
